x,y,z,mx,my,mz
0,24,4,0.71754,-0.654114,-0.239316
0,24,5,0.739282,-0.517005,-0.431472
0,24,6,0.702516,-0.675511,-0.223956
0,24,7,0.887913,-0.400282,0.226681
0,24,8,0.663514,-0.72994,-0.164122
0,24,9,0.670464,-0.738537,-0.070997
0,24,10,0.78485,-0.61883,-0.032557
0,24,11,0.794442,-0.550307,-0.256952
0,24,12,0.785829,-0.616291,0.051553
0,24,13,0.824445,-0.559177,-0.08724
0,24,14,0.877878,-0.474506,-0.064607
0,24,15,0.774908,-0.631785,-0.019133
0,24,16,0.655,-0.744062,-0.131709
0,24,17,0.794725,-0.565301,-0.221014
0,24,18,0.765324,-0.600495,-0.231699
0,24,19,0.875699,-0.473924,-0.092453
0,24,20,0.540811,-0.715364,-0.442467
0,24,21,0.757945,-0.602968,-0.248894
0,24,22,0.654957,-0.559115,-0.508351
0,24,23,0.838947,-0.461081,-0.28909
0,24,24,0.84481,-0.285849,-0.452313
0,24,25,0.831182,-0.147287,-0.536138
0,24,26,0.801283,-0.492422,-0.339803
0,24,27,0.833345,-0.250282,-0.492845
0,24,28,0.891095,-0.402219,-0.210166
0,24,29,0.833179,-0.473744,-0.285271
0,24,30,0.811282,-0.382705,-0.441993
0,24,31,0.794675,-0.081377,-0.601556
0,24,32,0.821162,-0.430671,-0.374454
0,24,33,0.720046,-0.460164,-0.519406
0,24,34,0.598987,-0.509318,-0.617908
0,24,35,0.801308,-0.291454,-0.522457
0,24,36,0.8881,-0.120899,-0.443466
0,24,37,0.776153,-0.286484,-0.561706
0,24,38,0.761186,-0.186685,-0.621083
0,24,39,0.865572,-0.166948,-0.472136
0,24,40,0.736398,-0.40714,-0.540329
0,24,41,0.668415,-0.674622,-0.313219
0,24,42,0.670142,-0.410357,-0.61848
0,24,43,0.895431,0.038594,-0.443524
0,24,44,0.870688,-0.471345,-0.140487
0,24,45,0.639292,-0.606718,-0.47244
0,24,46,0.549398,-0.497172,-0.671552
0,24,47,0.398775,-0.539928,-0.741253
0,24,48,0.602367,-0.273496,-0.749902
0,24,49,0.380179,-0.393231,-0.837158
0,24,50,0.442975,-0.252806,-0.860152
0,25,0,0.840202,-0.484385,-0.243787
0,25,1,0.829059,-0.538591,-0.150269
0,25,2,0.628925,-0.624565,-0.463003
0,25,3,0.483554,-0.852025,-0.200572
0,25,4,0.788655,-0.567148,-0.237417
0,25,5,0.73887,-0.589023,-0.327296
0,25,6,0.88364,-0.323879,-0.338057
0,25,7,0.866231,-0.415425,-0.277606
0,25,8,0.809268,-0.576022,-0.115251
0,25,9,0.921396,-0.297813,-0.249672
0,25,10,0.922478,-0.373895,-0.096113
0,25,11,0.767781,-0.632563,-0.101868
0,25,12,0.761708,-0.631642,-0.144323
0,25,13,0.745682,-0.663228,-0.063938
0,25,14,0.8127,-0.571085,-0.115671
0,25,15,0.633126,-0.694876,-0.341027
0,25,16,0.677006,-0.661,-0.323638
0,25,17,0.615937,-0.746635,-0.251312
0,25,18,0.594582,-0.736525,-0.322495
0,25,19,0.769709,-0.394871,-0.501622
0,25,20,0.704255,-0.555118,-0.44257
0,25,21,0.82655,-0.443928,-0.34604
0,25,22,0.743625,-0.396674,-0.538211
0,25,23,0.821283,-0.415418,-0.391052
0,25,24,0.828077,-0.420175,-0.371136
0,25,25,0.832457,-0.381969,-0.401392
0,25,26,0.881976,-0.33365,-0.332859
0,25,27,0.866228,-0.326623,-0.378109
0,25,28,0.911617,-0.218425,-0.348201
0,25,29,0.929158,-0.181168,-0.322249
0,25,30,0.917821,-0.033089,-0.395612
0,25,31,0.949603,-0.240065,-0.201553
0,25,32,0.925398,-0.238971,-0.294162
0,25,33,0.736957,-0.314509,-0.598313
0,25,34,0.764454,-0.44927,-0.46235
0,25,35,0.863223,-0.370942,-0.342415
0,25,36,0.880901,-0.321762,-0.347107
0,25,37,0.769948,-0.304018,-0.561029
0,25,38,0.886356,-0.385738,-0.256082
0,25,39,0.787253,-0.421605,-0.44998
0,25,40,0.56385,-0.203801,-0.800336
0,25,41,0.804428,-0.411013,-0.42891
0,25,42,0.914046,-0.23492,-0.330655
0,25,43,0.922136,-0.199992,-0.331161
0,25,44,0.739556,-0.24694,-0.62616
0,25,45,0.458986,-0.507943,-0.728921
0,25,46,0.542932,-0.297534,-0.785302
0,25,47,0.40523,-0.617305,-0.674331
0,25,48,0.342729,-0.43358,-0.833394
0,25,49,0.62217,-0.379329,-0.684846
0,25,50,0.610495,-0.463267,-0.642401
0,26,0,0.669138,-0.696224,-0.259859
0,26,1,0.635833,-0.745097,-0.201362
0,26,2,0.49167,-0.828811,-0.267083
0,26,3,0.38799,-0.836516,-0.386918
0,26,4,0.588147,-0.725162,-0.358082
0,26,5,0.649952,-0.723719,-0.231931
0,26,6,0.732411,-0.680025,-0.033767
0,26,7,0.76451,-0.529226,-0.368027
0,26,8,0.890388,-0.454389,-0.027207
0,26,9,0.803809,-0.415882,-0.425362
0,26,10,0.935514,-0.307008,-0.174811
